feature,importance
Contract_Month-to-month,0.6756074724990533
tenure,0.6732067699291776
InternetService_Fiber optic,0.5686987744812932
MonthlyCharges,0.3914897578006556
Contract_One year,0.3506778569259577
Contract_Two year,0.32492248652839006
InternetService_DSL,0.32483879873312865
InternetService_No,0.24385284670348062
TechSupport_No,0.2003384577162325
TechSupport_Yes,0.20033132867152406
DeviceProtection_Yes,0.10638865969805335
Dependents_Yes,0.08178339921961894
Dependents_No,0.0817762701749192
PaymentMethod_Electronic check,0.07617028330400295
MultipleLines_Yes,0.07466253105121788
OnlineSecurity_No internet service,0.07451926023610554
TotalCharges,0.07138520938280103
DeviceProtection_No,0.07065933760779114
MultipleLines_No,0.06589581936737915
OnlineSecurity_Yes,0.06144000194670519
PhoneService_Yes,0.05833392403696674
PhoneService_No,0.05832679499226555
PaymentMethod_Bank transfer (automatic),0.04468763886792022
OnlineBackup_Yes,0.043573462208079575
DeviceProtection_No internet service,0.035722193045562775
StreamingTV_No internet service,0.032886170534831796
StreamingTV_No,0.03119237589464715
OnlineBackup_No,0.029119786646440698
StreamingMovies_No internet service,0.026787541280497488
PaperlessBilling_Yes,0.024221953844734884
PaperlessBilling_No,0.02421482480003722
Partner_No,0.02282789341563525
Partner_Yes,0.022820764370929753
StreamingMovies_No,0.019153936054710868
PaymentMethod_Mailed check,0.01746251898526042
SeniorCitizen_No,0.01598493487341275
SeniorCitizen_Yes,0.01597780582871079
OnlineBackup_No internet service,0.014460804606339297
PaymentMethod_Credit card (automatic),0.014027254495529728
OnlineSecurity_No,0.01308638733410169
MultipleLines_No phone service,0.008759582639134846
StreamingMovies_Yes,0.007626476181085608
StreamingTV_Yes,0.00170092368488653
gender_Male,0.0015819784647083746
gender_Female,0.0015748494200060336
